datum,produkt,volym,belopp
2017-07-24 06:13,Diesel,36.22,604.51
2017-07-23 21:58,95-oktan,11.85,200.15
2017-07-23 21:20,95-oktan,9.71,164.00
2017-07-23 20:31,95-oktan,17.77,300.14
2017-07-23 20:26,95-oktan,11.11,187.65
2017-07-23 19:50,Diesel,5.55,92.63
2017-07-23 18:25,95-oktan,10.64,179.71
2017-07-23 08:24,95-oktan,11.85,200.15
2017-07-23 08:22,95-oktan,29.61,500.11
2017-07-22 20:08,95-oktan,13.99,236.29
2017-07-22 19:39,95-oktan,8.58,144.92
2017-07-22 19:11,95-oktan,15.51,261.96
2017-07-22 18:04,95-oktan,11.85,200.15
2017-07-22 07:00,Diesel,49.68,829.16
2017-07-21 21:20,95-oktan,5.32,89.85
2017-07-21 21:18,95-oktan,5.93,100.16
2017-07-21 20:24,95-oktan,29.61,500.11
2017-07-21 20:06,95-oktan,5.05,85.29
2017-07-21 19:38,Diesel,29.96,500.03
2017-07-21 18:56,95-oktan,20.89,352.83
2017-07-21 18:38,Diesel,4.96,82.78
2017-07-21 18:33,95-oktan,26.97,455.52
2017-07-21 18:10,95-oktan,4.78,80.73
2017-07-20 21:51,95-oktan,25.36,428.33
2017-07-20 20:36,95-oktan,8.61,145.42
2017-07-20 20:31,95-oktan,59.21,"1,000.06"
2017-07-20 20:23,95-oktan,84.39,"1,425.35"
2017-07-20 19:37,95-oktan,41.45,700.09
2017-07-20 19:28,95-oktan,59.21,"1,000.06"
2017-07-20 19:25,95-oktan,59.21,"1,000.06"
2017-07-20 19:13,95-oktan,5.93,100.16
2017-07-20 18:59,Diesel,41.95,700.15
2017-07-20 18:50,95-oktan,9.70,163.83
2017-07-20 18:46,95-oktan,17.77,300.14
2017-07-20 18:43,95-oktan,17.77,300.14
2017-07-20 08:20,95-oktan,11.85,200.15
2017-07-20 06:04,Diesel,41.54,693.30
2017-07-19 22:08,95-oktan,0.97,16.38
2017-07-19 21:36,95-oktan,17.77,300.14
2017-07-19 20:12,95-oktan,17.12,289.16
2017-07-19 20:09,95-oktan,8.29,140.02
2017-07-19 18:54,95-oktan,5.93,100.16
2017-07-19 08:32,95-oktan,11.27,190.35
2017-07-19 08:30,Diesel,30.45,508.21
2017-07-19 08:27,Diesel,59.92,"1,000.06"
2017-07-19 08:17,Diesel,57.16,954.00
2017-07-18 21:16,95-oktan,24.88,420.22
2017-07-18 21:13,95-oktan,100.00,"1,689.00"
2017-07-18 21:00,95-oktan,10.31,174.14
2017-07-18 20:01,95-oktan,23.69,400.12
2017-07-18 19:50,95-oktan,10.57,178.53
2017-07-18 19:47,95-oktan,8.29,140.02
2017-07-18 19:44,95-oktan,5.93,100.16
2017-07-18 18:54,Diesel,59.92,"1,000.06"
2017-07-18 18:53,95-oktan,9.13,154.21
2017-07-13 20:08,95-oktan,11.85,200.15
2017-07-13 18:22,95-oktan,11.36,191.87
2017-07-13 18:20,95-oktan,11.85,200.15
2017-07-13 07:54,Diesel,17.98,300.09
2017-07-12 21:20,95-oktan,3.56,60.13
2017-07-12 18:53,95-oktan,9.18,155.05
2017-07-12 07:40,Diesel,21.51,359.00
2017-07-11 19:49,[Ingen produkt],0.00,0.00
2017-07-11 19:38,Diesel,0.00,0.00
2017-07-11 19:34,Diesel,0.00,0.00
2017-07-11 19:31,95-oktan,0.00,0.00
2017-07-11 19:29,95-oktan,0.00,0.00
2017-07-11 19:27,95-oktan,0.00,0.00
2017-07-11 19:24,95-oktan,42.27,703.80
2017-07-10 21:11,95-oktan,18.02,300.03
2017-07-10 20:50,95-oktan,6.75,112.39
2017-07-10 18:38,95-oktan,60.06,"1,000.00"
2017-07-09 18:51,Diesel,100.00,"1,645.00"
